round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,avg_trust,avg_sigma_t,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,kurtosis_honest,kurtosis_attacker
0,1.4433478899700307,0.35905,1.9177735686182975,0.8,28.272284984588623,1.7296531796455383,20,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,282.7188129425049,0.0,0.0011779963970184326,12.408548593521118
1,2.133705946842509,0.58583125,1.3830868252813815,0.8,11.749326691031456,1.1498624086380005,10,0.6666666666666666,1.0,0.4158381959423423,0.9801986733067553,0.4158381959423423,0.0,280.6108589172363,0.0,0.0011779069900512695,158.30664825439453
2,2.5872806493830622,0.65740625,1.0969129090845584,0.8,13.718008950352669,2.0000008046627045,10,0.6666666666666666,1.0,0.4854784067720175,0.9607894391523232,0.4854784067720175,0.0,289.51928901672363,0.0,0.0011778324842453003,243.0733871459961
3,3.059366086688378,0.70965,0.9195901718378068,0.8,10.209899201989174,1.9999979734420776,10,0.6666666666666666,1.0,0.3612839374691248,0.9417645335842487,0.3612839374691248,0.0,295.3515911102295,0.0,0.0011778473854064941,96.55452346801758
4,3.550717696175076,0.7505875,0.7921497321635484,0.8,6.570005498826504,2.0000000596046448,10,0.6666666666666666,1.0,0.23244114080443978,0.9231163463866358,0.23244114080443978,0.0,307.5816593170166,0.0,0.001177862286567688,103.15623474121094
5,4.0621217452456015,0.7797562499999999,0.7002557677298784,0.7272727272727273,4.178756007924676,1.9999950230121613,10,0.5714285714285714,1.0,0.1424614991992712,0.9048374180359595,0.1424614991992712,0.0,317.6664047241211,0.0,-0.1865440011024475,265.05918312072754
6,4.5358226907083425,0.7986500000000001,0.6409258520111443,0.6666666666666666,3.0009350832551718,2.00000536441803,5,0.5,1.0,0.08945619035512209,0.8869204367171575,0.08945619035512209,0.0,332.349889755249,0.0,-0.5650099217891693,173.49422073364258
7,4.812821387065698,0.8125312499999999,0.6005554366454482,0.5714285714285715,2.735151458531618,2.000003218650818,5,0.4,1.0,0.07745865732431412,0.8693582353988059,0.07745865732431412,0.0,332.9604187011719,0.0,-0.7521635144948959,297.0139617919922
8,5.101124614671679,0.8207812499999999,0.5747485613450407,0.6153846153846153,2.816822468157625,1.9826008677482605,5,0.4444444444444444,1.0,0.0832904604030773,0.8521437889662113,0.0832904604030773,0.0,348.5295658111572,0.0,-0.5613369941711426,485.77685165405273
9,5.401193720198425,0.82808125,0.5522800212047994,0.5714285714285715,2.3715074360370636,1.8546216189861298,5,0.4,1.0,0.06573372427374125,0.835270211411272,0.06573372427374125,0.0,352.6994323730469,0.0,-0.7462820112705231,152.74114227294922
10,5.713508878232934,0.8332062499999999,0.5381391213878989,0.5333333333333333,2.290151819586754,1.5340952277183533,5,0.36363636363636365,1.0,0.05600067414343357,0.8187307530779818,0.05600067414343357,0.0,353.1547660827637,0.0,-0.9336551576852798,278.06836700439453
11,6.0385698596588515,0.8351312500000001,0.5324011776648462,0.5333333333333333,2.4554487876594067,1.513671100139618,5,0.36363636363636365,1.0,0.06397821556311101,0.8025187979624785,0.06397821556311101,0.0,365.09642028808594,0.0,-1.122977614402771,240.81194686889648
12,6.376896831396497,0.8388500000000001,0.5242104321777821,0.5714285714285715,2.1678344570100307,1.462123990058899,5,0.4,1.0,0.061083843116648495,0.7866278610665535,0.061083843116648495,0.0,375.0692939758301,0.0,-0.9354586452245712,247.91445541381836
13,6.729031188780921,0.8432875,0.5106623706512152,0.5714285714285715,1.184017475694418,1.363551527261734,5,0.4,1.0,0.024258065794128925,0.7710515858035663,0.024258065794128925,0.0,379.613561630249,0.0,-0.9403553754091263,188.84840393066406
14,7.095536421909943,0.8479,0.49618783652931453,0.4,0.5925969518721104,1.4322172105312347,5,0.25,1.0,-0.03553428826853633,0.7557837414557255,-0.03553428826853633,0.0,400.8967456817627,0.0,-2.2483730018138885,246.41119766235352
15,7.476999017348522,0.85283125,0.4825152861319482,0.38095238095238093,0.23954090476036072,1.4822825491428375,5,0.23529411764705882,1.0,-0.0726011864899192,0.7408182206817179,-0.0726011864899192,0.0,374.6991844177246,0.0,-2.435315042734146,355.18933868408203
16,7.8740293966323875,0.856525,0.47134530841782685,0.38095238095238093,0.2500142939388752,1.1955511569976807,5,0.23529411764705882,1.0,-0.05588368623284623,0.7261490370736909,-0.05588368623284623,0.0,414.4417552947998,0.0,-2.436991438269615,207.6872501373291
17,8.287262893072725,0.85879375,0.46468606006130575,0.4,0.3575088996440172,0.9259614050388336,5,0.25,1.0,-0.030715157801751047,0.7117703227626097,-0.030715157801751047,0.0,408.0913829803467,0.0,-2.063235729932785,214.64704704284668
18,8.71736076842502,0.86106875,0.45825010923370724,0.38095238095238093,0.34042983315885067,0.8253666907548904,5,0.23529411764705882,1.0,-0.06524293776601553,0.697676326071031,-0.06524293776601553,0.0,363.70476150512695,0.0,-2.436639651656151,267.54748916625977
19,9.165011271048945,0.86298125,0.45309507986083625,0.38095238095238093,0.2515895292162895,0.7609712183475494,5,0.23529411764705882,1.0,-0.0628723336267285,0.6838614092123558,-0.0628723336267285,0.0,377.89685440063477,0.0,-2.4369914829730988,199.47603225708008
20,9.630930737252562,0.8659749999999999,0.44461418936252595,0.3636363636363636,0.03707491373643279,0.7017161697149277,5,0.2222222222222222,1.0,-0.07690072734840214,0.6703200460356393,-0.07690072734840214,0.0,411.7054252624512,0.0,-2.626987189054489,250.27385711669922
